"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 04 12:53:17 UTC 2025","Wed Jun 04 12:53:17 UTC 2025","161","","Tests","Carts Api Tests","","","Api Carts - Consultar e Editar Carrinho","Teste  DummyJson API"
"passed","Wed Jun 04 12:53:17 UTC 2025","Wed Jun 04 12:53:47 UTC 2025","29954","","Tests","Delivery Tests","","","Tela Inicial do Delivery","Realizar login na aplicação para cadastrar um endereço. Não consegue cadastrar devido ao erro na consulta"
